Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

4.87999986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.89599986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.91199986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.92799986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.94399986,0.15748030,1,0,1,0,0,1,1,1,0,0
4.95999986,0.15748030,1,0,1,0,0,1,1,1,0,0
4.97599986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.99199986,0.00000000,1,0,1,0,0,1,1,1,0,0
5.00799986,0.15748030,1,0,1,0,0,1,1,1,0,1
5.02399986,0.15748030,1,0,1,0,0,1,1,1,0,1
5.03999986,0.47367130,1,0,1,0,0,1,1,1,0,1
5.05599986,-0.15748030,1,0,1,0,0,1,1,1,0,1
5.07199986,0.00000000,1,0,1,0,0,1,1,1,0,1
5.08799986,0.31557580,1,0,1,0,0,1,0,1,0,1
5.10399986,0.15748030,1,1,0,1,1,1,0,0,0,1
5.11999986,0.15748030,1,1,0,1,1,1,0,0,0,1
5.13599985,0.15748030,1,1,0,1,1,1,0,0,0,1
5.15199985,0.31557580,1,1,0,1,1,1,0,0,0,1
5.16799985,0.15748030,1,1,0,1,1,1,0,0,0,1
5.18399985,0.15748030,1,1,0,1,1,1,0,0,0,1
5.19999985,0.31557580,1,1,0,1,1,1,0,0,0,1
5.21599985,0.15748030,1,1,0,1,1,1,0,0,0,1
5.23199985,0.00000000,1,1,0,1,1,1,0,0,0,1
5.24799985,0.31557580,1,1,0,1,1,1,0,0,0,1
5.26399985,0.47367130,1,1,0,1,1,1,0,0,0,0
5.27999985,0.00000000,1,1,0,1,1,1,0,0,0,0
5.29599985,0.00000000,1,1,0,1,1,1,0,0,0,0
5.31199985,0.31557580,1,1,0,1,1,1,0,0,0,0
5.32799985,0.15748030,1,1,0,1,1,1,0,0,0,0
5.34399985,0.15748030,1,1,0,1,1,1,0,0,0,0
5.35999985,0.00000000,1,1,0,1,1,1,0,0,0,0
5.37599985,0.15748030,1,1,0,1,1,1,0,0,1,0
5.39199985,0.31557580,1,1,0,1,1,1,0,0,1,0
5.40799985,0.15748030,1,1,0,1,1,1,0,0,1,0
5.42399985,0.15748030,1,1,0,1,1,1,0,0,1,0
5.43999985,0.15748030,1,1,0,1,1,1,0,0,1,0
5.45599985,0.00000000,1,1,0,1,1,1,0,0,1,0
5.47199985,0.15748030,1,1,0,1,1,1,0,0,1,0
5.48799984,0.47367130,1,1,0,1,1,1,0,0,1,0
5.50399984,0.31557580,1,1,0,1,1,1,0,0,1,1
5.51999984,0.15748030,1,1,0,1,1,1,0,0,1,1
5.53599984,0.00000000,1,1,0,1,1,1,0,0,1,1
5.55199984,0.15748030,1,1,0,1,1,1,0,0,1,1
5.56799984,0.00000000,1,1,0,1,1,1,0,0,1,1
5.58399984,0.31557580,0,0,0,0,0,1,0,1,1,1
5.59999984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.61599984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.63199984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.64799984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.66399984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.67999984,0.00000000,0,0,1,0,0,1,1,1,1,1
5.69599984,0.15748030,0,0,1,0,0,1,1,1,1,1
5.71199984,0.31557580,0,0,1,0,0,1,1,1,1,1
5.72799984,0.31557580,0,0,1,0,0,1,1,1,1,1
5.74399984,0.00000000,0,0,1,0,0,1,1,1,1,1
5.75999984,0.15748030,0,0,1,0,0,1,1,1,1,0
5.77599984,0.15748030,0,0,1,0,0,1,1,1,1,0
5.79199984,0.15748030,0,0,1,0,0,1,1,1,1,0
